"nombre","cantidades","info","sabores","imagen","mix","Artículo","Estado","Stock"
"CORDERO CON PIEL DEL LOBO X 750CC","1 UNIDAD","","","","","592","🟢 ok","0"
"LAS PERDICES MALBEC X 750","1 UNIDAD","","","","","593","🟢 ok","6"
"LAS PERDICES PARTRIDGE MALBEC X 750","1 UNIDAD","","","","","594","🟢 ok","0"
"LAS PERDICES RESERVA MALBEC X 750","1 UNIDAD","","","","","595","🟢 ok","0"
"PERRO CALLEJERO MALBEC X 750CC","1 UNIDAD","","","","","613","🟢 ok","6"
"LAS PERDICES SAUVI BLANC X 750","1 UNIDAD","","","","","616","🟢 ok","6"
"LAS PERDICES ALA COLORADA ANCELLOTA X 750","1 UNIDAD","","","","","622","🟢 ok","0"
"VARIOS","1 UNIDAD","","","","","633","🟢 ok","201"
"ACEITE DE OLIVA  X 500 CC LAUR","1 UNIDAD","","","","","637","🟢 ok","5"
"DELANTAL LINO","1 UNIDAD","","","","","638","🟢 ok","0"
"LAS PERDICES BRUT ROSÉ X750ml","1 UNIDAD","","","","","640","🟢 ok","5"
"HIBISCUS  FLOR X KG","1 UNIDAD","","","","","641","🟢 ok","1"
"TE NEGRO X KG","1 UNIDAD","","","","","643","🟢 ok","1"
"NUEZ MARIPOSA EXTRA LIGHT X KG","1 UNIDAD","","","","","644","🟢 ok","8"
"FIDEOS DE ARROZ ""PARTY BECK"" X 280GR","1 UNIDAD","","","","","661","🟢 ok","0"
"NUEZ CON CASCARA X KG","1 UNIDAD","","","","","665","🟢 ok","10"
"SALSA SOJA X 1 L","1 UNIDAD","","","","","669","🟢 ok","2"
"MANI SABORIZADO X KG","1 UNIDAD","","","","","670","🟢 ok","7"
"YOGHURT ANANA X 1 L","1 UNIDAD","","","","","684","🟢 ok","2"
"JENGIBRE EN TROZOS XKG","1 UNIDAD","","","","","690","🟢 ok","0"
"ALMENDRA GUARA  X KG","1 UNIDAD","","","","","691","🟢 ok","5"
"ACEITE DE OLIVA   900ML VERDE OLIVA","1 UNIDAD","","","","","702","🟢 ok","9"
"GALLETAS CACHAFAS ORGANICAS","1 UNIDAD","","","","","703","🟢 ok","11"
"GRANOLA MIX SIN PASAS X KG","1 UNIDAD","","","","","705","🟢 ok","7"
"LA IRIDE ""HUELGA DE AMORES"" X 750ml","1 UNIDAD","","","","","706","🟢 ok","4"
"PROSTASANA X 30 COMPR. ""EL NATURALISTA""","1 UNIDAD","","","","","711","🟢 ok","8"
"MERMELADA MQA X 310","1 UNIDAD","","","","","712","🟢 ok","9"
"MERMELADA MQA FRUTILLA X 310","1 UNIDAD","","","","","713","🟢 ok","0"
"MAYONESA ""MAYOV"" X 270GR","1 UNIDAD","","","","","716","🟢 ok","5"
"ACEITE DE OLIVA  3 L VERDE OLIVA","1 UNIDAD","","","","","719","🟢 ok","0"
"ACEITE DE OLIVA  5 L VERDE OLIVA","1 UNIDAD","","","","","720","🟢 ok","1"
"GRANOLA TRADICIONAL X KG","1 UNIDAD","","","","","722","🟢 ok","1"
"GRANOLA CON CHOCO X KG","1 UNIDAD","","","","","723","🟢 ok","2"
"FRUTA MULTICOLOR X KG","1 UNIDAD","","","","","725","🟢 ok","3"
"PASAS MOROCHAS SIN SEMILLA X KG","1 UNIDAD","","","","","726","🟢 ok","4"
"NUECES CONFITADAS X 100 g","1 UNIDAD","","","","","728","🟢 ok","4"
